"PD_ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","SNIA Online Taxonomy Category","Storage Controller Implementation","Storage Controller Manufacturer Name","Storage Controller Model Name","Storage Controller Model Number","Storage Controller Advanced Data Recovery Type","Capacity Optimizing Methods (COMs)","Workload Optimization Type","Automated Storage Tiering Capable","Automated Storage Tiering Enabled in Hardware on Shipment","Software Operating Environment Name","Software Operating Environment Version","Active or Passive Cooling Enabled in Hardware on Shipment","Length of Rolling Average for Input Power (s)","Length of Rolling Average for Inlet Air Temperature (s)","Power and Temperature Reporting Additional Information","Trans Model Number or Config ID","Trans Power Supply Unit (PSU) Type","Trans PSU Manufacturer Name","Trans PSU Model Name","Trans PSU Model Number","Trans PSU Rated Output (W)","Trans PSUs 80PLUS Certification","Trans Total Amount of Cache (GB)","Trans Devices Used for Cache","Trans Other Devices Used for Cache","Trans Total Num Installed Storage Devices Optimal Point","Trans Ratio Devices Mixed Optimal Point","Trans Installed Solid State Devices in Optimal Point","Trans Installed Rotational Devices in Optimal Point","Trans Num of Controllers in Optimal Point","Trans Num Redundant Controllers Optimal Point","Trans Number of PSUs Optimal Point","Trans Number of Redundant PSUs Optimal Point","Trans Auto Tiering Enabled Optimal Point","Trans Optimal Point DATABASE Workload Test","Trans Optimal Point VDI Workload Test","Trans Optimal Point Ready Idle Workload Test (GB/W)","Trans Storage Device 1 Type","Trans Storage Device 1 Form Factor","Trans Storage Device 1 Rated Speed (RPM)","Trans Storage Device 1 Raw Capacity (GB)","Trans Num Devices Storage Device 1 Optimal Point","Trans Physical or Modeled Data Device 1 Optimal Point","Trans Automated Tiering Enabled During Testing Device 1","Trans Device 1 Optimal Point DATABASE Workload Test","Trans Device 1 Optimal Point VDI Workload Test","Trans Device 1 Optimal Point Ready Idle Wrkld Test (GB/W)","Trans Storage Device 2 Type","Trans Storage Device 2 Form Factor","Trans Storage Device 2 Rated Speed (RPM)","Trans Storage Device 2 Raw Capacity (GB)","Trans Num Devices Storage Device 2 Optimal Point","Trans Physical or Modeled Data Device 2 Optimal Point","Trans Automated Tiering Enabled During Testing Device 2","Trans Device 2 Optimal Point DATABASE Workload Test","Trans Device 2 Optimal Point VDI Workload Test","Trans Device 2 Optimal Point Ready Idle Wrkld Test (GB/W)","Stream Model Number or Config ID","Stream Power Supply Unit (PSU) Type","Stream PSU Manufacturer Name","Stream PSU Model Name","Stream PSU Model Number","Stream PSU Rated Output (W)","Stream PSUs 80PLUS Certification","Stream Total Amount of Cache (GB)","Stream Devices Used for Cache","Stream Other Devices Used for Cache","Stream Total Num Installed Storage Devices Optimal Point","Stream Ratio Devices Mixed Optimal Point","Stream Installed Solid State Devices in Optimal Point","Stream Installed Rotational Devices in Optimal Point","Stream Num of Controllers in Optimal Point","Stream Num Redundant Controllers Optimal Point","Stream Number of PSUs Optimal Point","Stream Number of Redundant PSUs Optimal Point","Stream Auto Tiering Enabled Optimal Point","Stream Optimal Point VDA Workload Test","Stream Optimal Point Ready Idle Workload Test (GB/W)","Stream Storage Device 1 Type","Stream Storage Device 1 Form Factor","Stream Storage Device 1 Rated Speed (RPM)","Stream Storage Device 1 Raw Capacity (GB)","Stream Num Devices Storage Device 1 Optimal Point","Stream Physical or Modeled Data Device 1 Optimal Point","Stream Automated Tiering Enabled During Testing Device 1","Stream Device 1 Optimal Point VDA Workload Test","Stream Device 1 Optimal Point Ready Idle Wrkld Test (GB/W)","Stream Storage Device 2 Type","Stream Storage Device 2 Form Factor","Stream Storage Device 2 Rated Speed (RPM)","Stream Storage Device 2 Raw Capacity (GB)","Stream Num Devices Storage Device 2 Optimal Point","Stream Physical or Modeled Data Device 2 Optimal Point","Stream Automated Tiering Enabled During Testing Device 2","Stream Device 2 Optimal Point VDA Workload Test","Stream Device 2 Optimal Point Ready Idle Wrkld Test (GB/W)","Comp Model Number or Config ID","Comp Power Supply Unit (PSU) Type","Comp PSU Manufacturer Name","Comp PSU Model Name","Comp PSU Model Number","Comp PSU Rated Output (W)","Comp PSUs 80PLUS Certification","Comp Total Amount of Cache (GiB)","Comp Devices Used for Cache","Comp Other Devices Used for Cache","Comp Installed Rotational Devices in Optimal Point","Comp Num of Controllers in Optimal Point","Comp Num Redundant Controllers Optimal Point","Comp Number of PSUs Optimal Point","Comp Number of Redundant PSUs Optimal Point","Comp Auto Tiering Enabled Optimal Point","Comp Optimal Point SW Build  Workload Test","Comp Optimal Point Ready Idle Workload Test (GB/W)","Comp Storage Device 1 Type","Comp Storage Device 1 Form Factor","Comp Storage Device 1 Rated Speed (RPM)","Comp Storage Device 1 Raw Capacity (GiB)","Comp Num Devices Storage Device 1 Optimal Point","Comp Physical or Modeled Data Device 1 Optimal Point","Comp Automated Tiering Enabled During Testing Device 1","Comp Device 1 Optimal Point SW Build Workload Test","Comp Device 1 Optimal Point Ready Idle Workload Test (GB/W)","Comp Storage Device 2 Type","Comp Storage Device 2 Form Factor","Comp Storage Device 2 Rated Speed (RPM)","Cap Storage Device 2 Raw Capacity (GB)","Comp Num Devices Storage Device 2 Optimal Point","Comp Physical or Modeled Data Device 2 Optimal Point","Comp Automated Tiering Enabled During Testing Device 2","Comp Device 2 Optimal Point SW Build  Workload Test","Comp Device 2 Optimal Point Ready Idle Workload Test (GB/W)","Date Available On Market","Date Qualified","Markets","ENERGY STAR Model Identifier"
"4,586,581","Huawei Technologies Co., Ltd.","HUAWEI","OceanStor Pacific 9928","OceanStor Pacific 9928","DPE60100",,"NVSS Disk Set Online 4","Scale-Out Storage","HUAWEI","OceanStor Pacific 9928","OceanStor Pacific 9928","EC","Delta Snapshots,Thin Provisioning,Compression","Composite","Yes","No","EulerOS","2.0 (SP13)","Active Cooling","3","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OceanStor Pacific 9928","Single-output
(Ac-Dc)","HUAWEI",,"PAC2000S12-B1","2000","Platinum","512.00","DRAM",,,,,,,,"0.76","318.23",,,,,,,,,,,,,,,,,,,"2025 Sep 30 12:00:00 AM","2026 Apr 10 12:00:00 AM","United States, Canada","ES_1100906_OceanStor Pacific 9928_03172026101243_5377466"
"4,586,582","Huawei Technologies Co., Ltd.","HUAWEI","OceanStor Pacific 9926","OceanStor Pacific 9926",,,"NVSS Disk Set Online 4","Scale-Out Storage","HUAWEI","OceanStor Pacific 9926","OceanStor Pacific 9926","EC","Delta Snapshots,Thin Provisioning,Compression","Composite","Yes","No","EulerOS","2.0 (SP13)","Active Cooling","3","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OceanStor Pacific 9928","Single-output
(Ac-Dc)","HUAWEI",,"PAC2000S12-B1","2000","Platinum","512.00","DRAM",,,,,,,,"0.45","318.23",,,,,,,,,,,,,,,,,,,"2025 Sep 30 12:00:00 AM","2026 Apr 10 12:00:00 AM","United States, Canada","ES_1100906_OceanStor Pacific 9926_04092026151514_5178644"
"4,596,054","Huawei Technologies Co., Ltd.","HUAWEI","OceanStor Dorado 2020","OceanStor Dorado 2020","OceanStor 510; OceanStor 5120; OceanStor 520; OceanStor 5210; OceanStor 5220; OceanStor Dorado 200; OceanStor Dorado 2000; OceanStor Dorado 2100; SPE26C0212; SPE26C0225",,"NVSS Disk Set Online 4","Scale-Out Storage","HUAWEI","OceanStor Dorado 2100","OceanStor Dorado 2100","EC","Compression,Delta Snapshots,Thin Provisioning","Composite","Yes","No","EulerOS","2.0 (SP13)","Active Cooling","3","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OceanStor Dorado 2100","Single-output
(Ac-Dc)","HUAWEI","PAC800D1205-CE","PAC800D1205-CE","800","Platinum","128.00","DRAM",,,,,,,,"2.60","145.89",,,,,,,,,,,,,,,,,,,"2022 Dec 29 12:00:00 AM","2026 May 04 12:00:00 AM","United States, Canada","ES_1100906_OceanStor Dorado 2020_04302026153253_4481927"
"2,397,182","NetApp, Inc.","NetApp","FAS Series","FAS2720",,,"Disk Set Online 3","Scale-Out Storage","NetApp","FAS Series","FAS2720","RAID","Thin Provisioning,Data Deduplication","Transaction","No","No","ONTAP","9.9.1","Active Cooling","not capable","not capable",,,"Multi-Output","Delta Electronics (Thailand) PCL","TDPS-900DB A","TDPS-900DB A","900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022 May 22 12:00:00 AM","2022 May 19 12:00:00 AM","United States, Canada","ES_1093185_FAS2720_20225103103548_3545543"
"2,636,679","NetApp, Inc.","NetApp","FAS2800-Series","FAS2820",,,"Disk Set Online 3","Scale-Out Storage","NetApp","NetApp - FAS Series: FAS2820","FAS2820","RAID","Thin Provisioning,Data Deduplication","Composite","No","No","ONTAP","9.13.1","Active Cooling","not capable","not capable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Multi-Output","Delta Electronics","TDPS-900AB A","TDPS-900AB A","900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2023 Jun 26 12:00:00 AM","2023 Aug 01 12:00:00 AM","United States, Canada","ES_1093185_FAS2820_20237101105227_3574705"
"4,429,173","NetApp, Inc.","NetApp","AFF A800","AFF A800","AFF C800,AFF C800",,"NVSS Disk Set Online 4","Scale-Out Storage","NetApp, Inc","AFF A800","AFF A800","Snapshot","Thin Provisioning,Compression,Data Deduplication","Transaction","Yes","Yes","ONTAP","9.15.1","Active Cooling","Real Time","Real Time",,"AFF A800","Single-Output","Delta","TDPS1600GB A","TDPS1600GB A","1600","Platinum","1374.389535","Other","RAM","48",,"48",,,,"4","1","Yes","0.35","0.31","425.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025 Jan 01 12:00:00 AM","2025 Apr 29 12:00:00 AM","United States, Canada","ES_1093185_AFF A800_05272025163012_7430320"
"4,497,549","NetApp, Inc.","NetApp","AFF A50","AFF A50",,,"NVSS Disk Set Online 4","Scale-Out Storage","NetApp Inc","AFF A50","AFF A50","All-Flash Arrays","Thin Provisioning,Compression,Data Deduplication","Transaction","Yes",,"ONTAP","9.16.1","Active Cooling","1","1","real time","X4024S173A1T9NTE","Internal","Delta & QCS","TDPS-1600GB A & DCJ16002-06","TDPS-1600GB A & DCJ16002-06",,"1,600 Watts","137.4389535","SSD",,"24",,,,,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025 Aug 25 12:00:00 AM","2025 Aug 28 12:00:00 AM","United States","ES_1093185_AFF A50_082820251830738_4914447"
"4,576,656","NetApp, Inc.","NetApp","AFF A30","AFF A30","AFF C30; ASA A30; ASA C30",,"NVSS Disk Set Online 4","Scale-Out Storage","NetApp Inc.","AFF A50","AFF A50","All-Flash Arrays","Thin Provisioning,Compression,Data Deduplication","Transaction","No",,"ONTAP","9.18.1","Active Cooling","0","0",,"X4024S173A1T9NTE","Single-Output","Delta, QCS","TDPS-1600GB A, DCJ16002-06","TDPS-1600GB A, DCJ16002-06",,"Titanium Certification","137.4389535","SSD",,"24",,,,,,,,,"765.04","770.84","750.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026 Mar 10 12:00:00 AM","2026 Mar 11 12:00:00 AM","United States","ES_1093185_AFF A30_03112026183069_2887703"
"4,618,434","NetApp, Inc.","NetApp","AFF A20","AFF A20","ASA A20,ASA A20,Marketing purposes",,"NVSS Disk Set Online 4","Scale-Out Storage","NetApp Inc","AFF A50","AFF A50","All-Flash Arrays","Compression,Data Deduplication,Thin Provisioning","Transaction","Yes","Yes","ONTAP","9.18.1","Active Cooling","1","1",,"X4024S173A1T9NTE","Ac-Dc","Delta, QCS",,"TDPS-1600GB A, DCJ16002-06","1600","Titanium","137.4389535","SSD",,"24",,"24",,,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025 Jan 01 12:00:00 AM","2026 May 29 12:00:00 AM","United States","ES_1093185_AFF A20_05292026182877_5364753"
"2,501,844","Pure Storage, Inc.","Pure Storage","Flashblade S500","Flashblade S500",,,"NVSS Disk Set Online 4","Scale-Out Storage","Pure Storage","FlashBlade / S500","FlashBlade / S500","RAID","Delta Snapshots,Thin Provisioning,Compression","Composite","No",,"Purity / FB","4.0.2","Both","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FlashBlade / S500","Multi-Output","Artesyn","CSU2400AP-3-400","CSU2400AP-3-400","2400","Platinum","1280.00","DRAM",,,"1","0","4","2","No","2.33","2289.66",,,,,,,,,,,,,,,,,,,"2022 Jul 01 12:00:00 AM","2023 May 25 12:00:00 AM","United States, Canada","Flashblade S500"
