"ENERGY STAR Unique ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","Product Type","Max Nameplate Output Current (A)","Input Voltage (V)","Maximum Output Power (kW)","Number of Outputs","Maximum Output Cord Length (ft.)","Output Cord Gauge (AWG)","Screen Area, if EVSE has high res display (in2)","Maximum (100%) Measured Luminance of the High Res Display (candelas per m2)","Automatic Brightness Control (ABC) Capable?","Connected Capable","DR Protocol","Connects Using","Protocols Used to Support Smart Charging","Network Security Standards","Is Broadband Internet Connection Needed for Demand Response?","Auxiliary Product Features","Product Features","Network Capability","Network Connection Types Available","No Vehicle Mode Input Power (watts)","No Vehicle Mode Total Allowance (watts)","No Vehicle Mode Power Factor","Partial On Mode Input Power (watts)","Partial On Mode Total Allowance (watts)","Partial On Mode Power Factor","Idle Mode Input Power (watts)","Idle Mode Total Allowance (watts)","Idle Mode Power Factor","Full Current Operation Mode Test: Total Loss (watts)","30 A Operation Mode Test: Total Loss (watts)","15 A Operation Mode Test: Total Loss (watts)","4 A Operation Mode Test: Total Loss (watts)","Dual Input Level 2: No Vehicle Mode Input Power (watts)","Dual Input No Vehicle Mode Total Allowance (watts)","Dual Input Level 2: No Vehicle Mode Power Factor","Dual Input Level 2: Partial On Mode Input Power (watts)","Dual Input Partial On Mode Total Allowance (watts)","Dual Input Level 2:  Partial On Mode Power Factor","Dual Input Level 2:  Idle Mode Input Power (watts)","Dual Input Idle Mode Total Allowance (watts)","Dual Input Level 2:  Idle Mode Power Factor","Dual Input Level 2: Full Current Operation Mode Test: Total Loss (watts)","Dual Input Level 2: 30 A Operation Mode Test: Total Loss (watts)","Dual Input Level 2: 15 A Operation Mode Test: Total Loss (watts)","Dual Input Level 2: 4 A Operation Mode Test: Total Loss (watts)","Date Available on Market","Date Certified","Markets","CB Model Identifier"
"4439473","Dropcases Ltd. DBA Lectron","Lectron","LECHGJ1772-12A-40ABLKUS","LECHGJ1772-12A-40ABLKUS",,,"Level 1/Level 2 Dual Input","12","120","1.44","1","16","12",,,"No",,,,,,,,,"No","None","1.86","4","0.39","1.86","4","0.39","3.83","8.8","0.42","16",,,"5.1","1.88","4","0.18","1.9","4","0.18","3.71","20","0.2","-104","-59","-18","5.2","06/27/2025","06/27/2025","United States, Canada","ES_1146737_LECHGJ1772-12A-40ABLKUS_06112025111226_1834833"
"4439613","Dropcases Ltd. DBA Lectron","Lectron","LECHG5-15-15ABLKUS","LECHG5-15-15ABLKUS","LECHG5-15-15ATSLBLKUS",,"Level 1","15","120","1.8","1","16","12",,,"No",,,,,,,,,"No","None","1.11","4","0.22","1.16","4","0.22","2.9","10","0.4","29",,"29","5",,,,,,,,,,,,,,"07/01/2025","07/01/2025","United States, Canada","ES_1146737_LECHG5-15-15ABLKUS_06252025131203_5389367"
"4439618","Dropcases Ltd. DBA Lectron","Lectron","LECHG14-50-40ABLKUS","LECHG14-50-40ABLKUS","LECHG14-50-40ATSLBLKUS",,"Level 2","40","240","9.6","1","16","8",,,"No",,,,,,,,,"No","None","0.83","4","0.08","0.95","4","0.08","3.34","20","0.12","94","51","16","3",,,,,,,,,,,,,,"07/01/2025","07/01/2025","United States, Canada","ES_1146737_LECHG14-50-40ABLKUS_06252025132047_6166955"
"4478501","Dropcases Ltd. DBA Lectron","Lectron","LECHGTSL-12A-40ABLKUS","LECHGTSL-12A-40ABLKUS",,,"Level 1/Level 2 Dual Input","12","120","1.44","1","16","12",,,"No",,,,,,,,,"No","None","1.86","4","0.39","1.86","4","0.39","3.83","8.8","0.42","16",,,"5.1","1.88","4","0.18","1.9","4","0.18","3.71","20","0.2","-104","-59","-18","5.2","07/03/2025","07/03/2025","United States, Canada","ES_1146737_LECHGTSL-12A-40ABLKUS_06252025132613_5209466"
"4592534","Dropcases Ltd. DBA Lectron","Lectron","LECHGNexusNEMA14-50J1772","LECHGNexusNEMA14-50J1772","LECHGNexusNEMA14-50NACS",,"Level 2","40","240","9.6","1","22","8",,,"No",,,,,,,,,"No","None","1.88","4","0.09","2.04","4","0.09","5.29","20","0.19","86","52","21","-13",,,,,,,,,,,,,,"04/23/2026","04/23/2026","United States, Canada","ES_1146737_LECHGNexusNEMA14-50J1772_04222026090714_3985559"
"4593774","Dropcases Ltd. DBA Lectron","Lectron","LECHGNexusHWJ1772","LECHGNexusHWJ1772","LECHGNexusHWNACS",,"Level 2","48","240","11.52","1","22","8",,,"No",,,,,,,,,"No","None","1.86","4","0.07","1.87","4","0.07","5.57","23.2","0.19","10,103","48","19","8",,,,,,,,,,,,,,"04/23/2026","04/23/2026","United States, Canada","ES_1146737_LECHGNexusHWJ1772_04222026091526_2266809"
"3815171","Dunamis Charge","Dunamis","L2C40S","L2C40S","L2C40D; L2C50D; L2C50S",,"Level 2","50","240","12","2","20","8",,,"No","No",,,,,,,,"Yes","Cellular","2.91","5.45","0.39","2.92","5.45","0.4","6.49","25.45","0.39","146","56","20","1",,,,,,,,,,,,,,"11/26/2024","11/26/2024","United States, Canada","ES_1149581_L2C40S_11262024134126_5233270"
"4439364","DynaChrg, Inc","DynaChrg","JNT-EVM002","DC-EVJ002-48","EVJ002",,"Level 2","48","240","11.52","1","25","8","8.54","120","No",,,,,,,"High Resolution Display,Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","6.47","7.41","0.39","6.55","7.41","0.39","10.88","26.61","0.43","191.61","83.06","28.47","12.2",,,,,,,,,,,,,,"06/18/2025","06/18/2025","United States, Canada","ES_1152276_DC-EVJ002-48_06252025104010_1010101"
"4515241","DynaChrg, Inc","DynaChrg","IOCAH28 (IOCAH28-32, IOCAH28-40, IOCAH28-50)","EVIO28 (EVIO28-32, EVIO28-40, EVIO28-50)","DC-EVIO28 (DC-EVIO28-32, DC-EVIO28-40, DC-EVIO28-50), EVIO10 (EVIO10-32, EVIO10-40, EVIO10-50), DC-EVIO10 (DC-EVIO10-32, DC-EVIO10-40, DC-EVIO10-50)",,"Level 2","50","240","12","1","25","8",,,"No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","4.65","6.5","0.18","4.5","6.5","0.18","8.44","26.5","0.26","140.76","56.46","20.26","9.15",,,,,,,,,,,,,,"11/14/2025","11/14/2025","United States, Canada","ES_1152276_EVIO28_11192025111510_1010101"
"2406893","EATON CORPORATION","EATON","Green Motion EV Chargers, Wall Charger","GMEV32BR-WC","Green Motion EV Chargers:Wall charger, Wall charger plug-in BR Direct Connect Kit, BAB Direct Connect Kit, BRDirect Connect Kit with Junction Box, BAB Direct Connect Kit with Junction Box,GMEV32BR-WCPL,GMEV32BR-DC,GMEV32BAB-DC, GMEV32BR-JB,GMEV32BAB-JB","786689667610;786689667627;786689667634;786689667641;786689667658;786689667665","Level 2","32","240","7.68","1","25","10",,,"No","No",,"Wi-Fi",,,"No",,,"Yes","Wi-Fi or Gigabit Ethernet","2.99","3.6","0.43","2.66","3.6","0.44","3.01","16.4","0.43","-99.99","-87.87","-17.84","4.7",,,,,,,,,,,,,,"02/13/2023","02/13/2023","United States, Canada","ES_1147229_GMEV32BR-WC_01132023183505_1010101"
